order_id,product_id,customer_id,order_date,shipping_date,quantity,unit_price,discount_pct,sales_amount,shipping_method,payment_method,order_status,delivery_date,customer_segment,customer_region
2683771,79641,610529,2025-06-30,2025-07-03,1,5363.01,15.0,4558.56,Standard,COD,Delivered,2025-07-09,Consumer,South
2407554,79641,754177,2026-04-29,2026-05-01,1,5363.01,15.0,4558.56,Economy,Net Banking,Delivered,2026-05-05,Consumer,East
7604036,56188,592041,2026-02-09,2026-02-17,1,3443.64,0.0,3443.64,Standard,UPI,Processing,,Consumer,West
1699667,79641,993014,2025-12-29,2025-12-30,2,5363.01,10.0,9653.42,Express,Debit Card,Delivered,2025-12-31,Small Business,South
1142236,74568,108922,2025-06-22,2025-06-26,1,1900.16,0.0,1900.16,Standard,Credit Card,Returned,2025-06-30,Corporate,Central
2756506,28129,964228,2026-01-02,2026-01-06,1,6269.52,0.0,6269.52,Economy,Debit Card,Processing,,Consumer,West
3228929,79641,330334,2026-06-01,2026-06-04,1,5363.01,0.0,5363.01,Standard,Net Banking,Delivered,2026-06-05,Consumer,West
5061792,28129,974569,2025-03-06,2025-03-09,1,6269.52,15.0,5329.09,Standard,Net Banking,Delivered,2025-03-10,Consumer,North
5793270,18030,823670,2025-07-17,2025-07-19,2,2921.51,15.0,4966.57,Standard,Debit Card,Shipped,,Corporate,North
5066785,79641,226303,2025-05-28,2025-06-02,1,5363.01,20.0,4290.41,Express,UPI,Shipped,,Consumer,Central
1703397,56188,699277,2025-08-22,2025-08-24,3,3443.64,25.0,7748.19,Economy,Credit Card,Delivered,2025-08-31,Small Business,Central
3001222,56188,914856,2026-01-26,2026-01-28,3,3443.64,20.0,8264.74,Economy,Debit Card,Returned,2026-02-04,Consumer,North
3694533,28129,488868,2025-10-02,2025-10-05,3,6269.52,0.0,18808.56,Standard,COD,Cancelled,,Consumer,West
6729869,79641,116164,2025-11-10,2025-11-17,2,5363.01,20.0,8580.82,Express,UPI,Delivered,2025-11-24,Consumer,South
7946031,78497,539708,2025-07-11,2025-07-17,2,725.77,15.0,1233.81,Standard,Debit Card,Shipped,,Consumer,East
4168239,79641,806283,2025-04-04,2025-04-12,2,5363.01,20.0,8580.82,Express,UPI,Delivered,2025-04-16,Consumer,South
9729910,28129,122589,2025-06-15,2025-06-20,1,6269.52,0.0,6269.52,Express,Debit Card,Shipped,,Small Business,Central
9542849,50534,992112,2026-04-11,2026-04-16,1,1113.02,0.0,1113.02,Standard,Net Banking,Processing,,Consumer,North
2451071,18474,368880,2025-11-22,2025-11-26,2,1417.87,20.0,2268.59,Express,COD,Delivered,2025-11-28,Small Business,West
6376081,18030,944733,2025-08-14,2025-08-21,1,2921.51,0.0,2921.51,Economy,UPI,Delivered,2025-08-25,Consumer,South
2350327,28129,256838,2026-03-01,2026-03-05,1,6269.52,5.0,5956.04,Standard,UPI,Delivered,2026-03-11,Consumer,North
5448395,21529,998146,2025-02-15,2025-02-18,3,919.39,5.0,2620.26,Standard,Debit Card,Cancelled,,Consumer,West
4271174,21529,105859,2025-06-08,2025-06-13,1,919.39,0.0,919.39,Standard,UPI,Delivered,2025-06-15,Consumer,South
4114414,28129,772034,2025-05-25,2025-05-29,1,6269.52,0.0,6269.52,Standard,Debit Card,Processing,,Consumer,North
5849311,78497,902639,2026-06-22,2026-06-24,2,725.77,25.0,1088.66,Standard,Credit Card,Delivered,2026-06-26,Corporate,West
5853512,79641,366863,2025-12-31,2026-01-03,1,5363.01,20.0,4290.41,Express,Wallet,Delivered,2026-01-09,Consumer,South
4530262,74568,693372,2025-11-27,2025-11-30,3,1900.16,20.0,4560.38,Standard,UPI,Cancelled,,Consumer,North
6763621,85575,262608,2025-01-04,2025-01-10,1,3516.68,5.0,3340.85,Same Day,UPI,Delivered,2025-01-11,Corporate,East
1190399,79641,942315,2025-04-30,2025-05-03,3,5363.01,0.0,16089.03,Economy,Credit Card,Delivered,2025-05-10,Consumer,South
1165937,79641,218631,2025-12-04,2025-12-10,2,5363.01,5.0,10189.72,Economy,Wallet,Delivered,2025-12-15,Corporate,Central
4688776,56188,992112,2025-08-15,2025-08-18,1,3443.64,5.0,3271.46,Express,Credit Card,Delivered,2025-08-20,Consumer,Central
9576762,87260,371909,2026-05-19,2026-05-24,1,3209.12,0.0,3209.12,Standard,UPI,Delivered,2026-05-25,Small Business,South
2525130,85575,975770,2026-02-11,2026-02-13,1,3516.68,15.0,2989.18,Standard,Wallet,Delivered,2026-02-14,Small Business,West
8570571,56188,957476,2025-09-19,2025-09-27,1,3443.64,25.0,2582.73,Standard,UPI,Delivered,2025-09-29,Corporate,East
7695561,18474,992112,2026-01-31,2026-02-04,1,1417.87,10.0,1276.08,Economy,COD,Delivered,2026-02-11,Consumer,West
5968981,79641,206966,2026-06-16,2026-06-19,5,5363.01,5.0,25474.3,Economy,Credit Card,Delivered,2026-06-21,Small Business,East
1155723,97797,697204,2025-09-26,2025-09-29,1,1675.71,5.0,1591.92,Standard,Net Banking,Delivered,2025-10-01,Consumer,North
8384015,28129,743830,2025-12-07,2025-12-10,3,6269.52,0.0,18808.56,Standard,COD,Delivered,2025-12-16,Consumer,South
8515472,79641,513963,2026-05-15,2026-05-18,1,5363.01,5.0,5094.86,Express,UPI,Returned,2026-05-25,Consumer,South
7944501,18030,974569,2025-06-05,2025-06-10,5,2921.51,10.0,13146.8,Standard,UPI,Delivered,2025-06-12,Consumer,South
2572024,97797,972317,2026-04-28,2026-05-06,1,1675.71,5.0,1591.92,Economy,Debit Card,Delivered,2026-05-11,Small Business,Central
9448743,97797,477196,2025-03-09,2025-03-14,1,1675.71,10.0,1508.14,Standard,Net Banking,Delivered,2025-03-18,Small Business,West
4481140,79641,566913,2025-12-09,2025-12-13,1,5363.01,15.0,4558.56,Standard,COD,Cancelled,,Small Business,Central
9076207,74568,823918,2026-02-24,2026-02-27,1,1900.16,0.0,1900.16,Standard,Net Banking,Shipped,,Consumer,West
2262905,48964,610529,2025-11-26,2025-12-02,2,770.14,0.0,1540.28,Standard,COD,Processing,,Consumer,North
7379630,79641,877837,2025-10-11,2025-10-17,1,5363.01,0.0,5363.01,Standard,UPI,Cancelled,,Consumer,Central
5925402,74568,695423,2025-11-27,2025-11-30,1,1900.16,0.0,1900.16,Economy,UPI,Delivered,2025-12-06,Consumer,South
2526421,74568,209641,2025-04-10,2025-04-18,1,1900.16,10.0,1710.14,Standard,Debit Card,Returned,2025-04-25,Consumer,West
9134962,85575,799603,2025-05-17,2025-05-20,2,3516.68,15.0,5978.36,Express,Net Banking,Delivered,2025-05-21,Consumer,East
9296616,78497,427245,2025-06-17,2025-06-23,1,725.77,20.0,580.62,Standard,COD,Processing,,Consumer,East
1160746,85575,236367,2025-11-20,2025-11-30,1,3516.68,10.0,3165.01,Standard,UPI,Processing,,Small Business,South
7685864,79641,522537,2025-09-16,2025-09-21,1,5363.01,5.0,5094.86,Standard,Credit Card,Cancelled,,Consumer,South
7889335,74568,378914,2025-06-02,2025-06-04,1,1900.16,0.0,1900.16,Standard,UPI,Delivered,2025-06-11,Consumer,East
6743411,56188,433775,2026-04-25,2026-04-29,1,3443.64,5.0,3271.46,Standard,Net Banking,Shipped,,Corporate,West
5848564,78497,773930,2025-08-12,2025-08-14,3,725.77,5.0,2068.44,Standard,COD,Delivered,2025-08-21,Consumer,North
3971664,21529,312773,2025-09-18,2025-09-24,1,919.39,20.0,735.51,Economy,Credit Card,Delivered,2025-10-01,Consumer,South
3566094,21529,860977,2025-08-31,2025-09-03,2,919.39,10.0,1654.9,Express,Credit Card,Delivered,2025-09-08,Small Business,West
8274317,18030,750976,2025-04-28,2025-05-03,1,2921.51,0.0,2921.51,Economy,UPI,Delivered,2025-05-08,Consumer,East
5707485,79641,799603,2026-01-19,2026-01-26,1,5363.01,5.0,5094.86,Standard,Credit Card,Delivered,2026-01-30,Consumer,South
1278018,28129,366863,2025-09-19,2025-09-21,1,6269.52,0.0,6269.52,Express,COD,Delivered,2025-09-24,Consumer,Central
6684189,85575,430456,2025-01-12,2025-01-15,1,3516.68,20.0,2813.34,Express,UPI,Delivered,2025-01-19,Consumer,South
4134285,28129,932301,2026-06-10,2026-06-15,1,6269.52,0.0,6269.52,Standard,UPI,Delivered,2026-06-22,Corporate,South
5017497,56188,430456,2026-03-16,2026-03-19,1,3443.64,0.0,3443.64,Standard,Credit Card,Delivered,2026-03-20,Consumer,South
9750626,97797,550630,2026-01-13,2026-01-15,1,1675.71,0.0,1675.71,Express,UPI,Delivered,2026-01-17,Consumer,South
6596497,18030,371909,2026-04-17,2026-04-18,5,2921.51,15.0,12416.42,Economy,COD,Shipped,,Small Business,East
9322290,56188,709849,2026-05-09,2026-05-12,1,3443.64,10.0,3099.28,Standard,UPI,Delivered,2026-05-15,Consumer,North
5747764,85575,637227,2025-07-23,2025-07-28,1,3516.68,10.0,3165.01,Standard,Credit Card,Shipped,,Consumer,East
1584506,48964,513963,2025-11-25,2025-11-29,1,770.14,5.0,731.63,Economy,Debit Card,Delivered,2025-12-02,Consumer,South
2180265,78497,940868,2025-11-24,2025-11-26,1,725.77,0.0,725.77,Standard,COD,Delivered,2025-12-01,Consumer,West
4034169,56188,352435,2025-06-15,2025-06-18,2,3443.64,20.0,5509.82,Economy,COD,Delivered,2025-06-19,Consumer,West
6129654,28129,209641,2025-05-21,2025-05-24,1,6269.52,0.0,6269.52,Economy,Credit Card,Delivered,2025-05-27,Consumer,East
5016433,85575,384300,2025-03-19,2025-03-22,2,3516.68,0.0,7033.36,Economy,UPI,Delivered,2025-03-27,Consumer,South
9819224,85575,860977,2025-12-13,2025-12-18,1,3516.68,10.0,3165.01,Economy,Credit Card,Delivered,2025-12-22,Small Business,South
1129894,79641,206966,2026-02-23,2026-02-26,1,5363.01,0.0,5363.01,Standard,UPI,Delivered,2026-03-03,Small Business,South
2867195,28129,104775,2026-02-08,2026-02-12,4,6269.52,0.0,25078.08,Express,Credit Card,Delivered,2026-02-17,Consumer,South
6422408,17733,598537,2025-07-12,2025-07-20,1,3137.12,15.0,2666.55,Same Day,Wallet,Delivered,2025-07-23,Consumer,North
1639282,78497,433775,2025-05-12,2025-05-16,2,725.77,10.0,1306.39,Same Day,COD,Delivered,2025-05-19,Corporate,North
2382203,79641,823918,2025-09-22,2025-09-26,1,5363.01,0.0,5363.01,Standard,Credit Card,Shipped,,Consumer,Central
2461187,28129,914856,2025-11-02,2025-11-03,4,6269.52,5.0,23824.18,Standard,UPI,Delivered,2025-11-10,Consumer,West
9904748,74568,233384,2026-05-16,2026-05-18,1,1900.16,15.0,1615.14,Standard,Credit Card,Delivered,2026-05-19,Consumer,South
3212697,79641,218631,2026-04-20,2026-04-22,1,5363.01,0.0,5363.01,Standard,Debit Card,Delivered,2026-04-27,Corporate,West
